expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
és,és,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,HUN-EVID-001,neither,
és,és,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,HUN-EVID-003,neither,
és,és,disj-spk,0,0,,1,0,1,0,0,0,HUN-EVID-033,neither,
és,és,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,HUN-EVID-034,neither,
és,és,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,HUN-EVID-035,neither,
és,és,neither-sta,0,1,,1,0,0,0,0,0,HUN-EVID-036,neither,
de,de,conj-contrast-sta,1,0,1,1,0,1,0,0,1,"HUN-EVID-005,HUN-EVID-006",neither,
de,de,conj-contrast-epi,1,0,1,0,0,1,0,0,1,"HUN-EVID-007,HUN-EVID-008",neither,
de,de,disj-spk,0,0,,1,0,1,0,0,0,"HUN-EVID-038,HUN-EVID-039",neither,
de,de,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,"HUN-EVID-040,HUN-EVID-041",neither,
de,de,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,"HUN-EVID-042,HUN-EVID-043",neither,
de,de,neither-sta,0,1,,1,0,0,0,0,0,"HUN-EVID-044,HUN-EVID-045",neither,
hanem,hanem,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"HUN-EVID-010,HUN-EVID-011",neither,
hanem,hanem,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,"HUN-EVID-012,HUN-EVID-013",neither,
hanem,hanem,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,HUN-EVID-051,neither,
hanem,hanem,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"HUN-EVID-052,HUN-EVID-053",neither,
hanem,hanem,disj-spk,0,0,,1,0,1,0,0,0,HUN-EVID-054,neither,
hanem,hanem,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,HUN-EVID-055,neither,
hanem,hanem,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,HUN-EVID-056,neither,
hanem,hanem,neither-sta,0,1,,1,0,0,0,0,0,HUN-EVID-057,neither,
vagy,vagy,disj-spk,0,0,,1,0,1,0,0,1,"HUN-EVID-019,HUN-EVID-020",neither,
vagy,vagy,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"HUN-EVID-022,HUN-EVID-063",neither,
vagy,vagy,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,"HUN-EVID-024,HUN-EVID-066",neither,
vagy,vagy,disj-nspk-epi-q,0,0,1,0,0,0,1,0,1,HUN-EVID-026,neither,
vagy,vagy,disj-nspk-sta-inc-q,?,0,,1,0,0,1,0,1,HUN-EVID-027,neither,
vagy,vagy,fc,0,0,,0,0,0,0,1,1,HUN-EVID-030,neither,
vagy,vagy,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,HUN-EVID-059,neither,
vagy,vagy,conj-contrast-sta,1,0,1,1,0,1,0,0,0,HUN-EVID-061,neither,
vagy,vagy,neither-sta,0,0,,1,0,0,0,0,0,HUN-EVID-067,neither,
vagy…vagy,vagy...vagy,disj-spk,0,0,,1,0,1,0,0,1,"HUN-EVID-014,HUN-EVID-015,HUN-EVID-016,HUN-EVID-017,HUN-EVID-018",neither,
vagy…vagy,vagy...vagy,disj-nspk-epi,0,0,1,0,0,0,0,0,1,HUN-EVID-021,neither,
vagy…vagy,vagy...vagy,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"HUN-EVID-023,HUN-EVID-064,HUN-EVID-071",neither,
vagy…vagy,vagy...vagy,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,"HUN-EVID-025,HUN-EVID-056,HUN-EVID-057",neither,
vagy…vagy,vagy...vagy,fc,0,0,,0,0,0,0,1,1,HUN-EVID-031,neither,
vagy…vagy,vagy...vagy,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,HUN-EVID-060,neither,
vagy…vagy,vagy...vagy,conj-contrast-sta,1,0,1,1,0,1,0,0,0,HUN-EVID-062,neither,
vagy…vagy,vagy...vagy,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,HUN-EVID-065,neither,
vagy…vagy,vagy...vagy,neither-sta,0,0,,1,0,0,0,0,0,HUN-EVID-068,neither,
vagy…vagy,vagy...vagy,disj-nspk-epi-q,0,0,1,0,0,0,1,0,1,HUN-EVID-075,neither,
se nem…se nem,se nem...se nem,neither-sta,0,1,,1,0,0,0,0,1,HUN-EVID-028,below,
se nem…se nem,se nem...se nem,neither-epi,0,1,,0,1,0,0,0,1,HUN-EVID-029,below,
∅,∅,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"HUN-EVID-002,HUN-EVID-032",neither,
∅,∅,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,HUN-EVID-004,neither,
∅,∅,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"HUN-EVID-009,HUN-EVID-035",neither,
∅,∅,conj-contrast-sta,1,0,1,1,0,1,0,0,1,HUN-EVID-034,neither,
∅,∅,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,"HUN-EVID-047,HUN-EVID-048,HUN-EVID-049,HUN-EVID-050",neither,
∅,∅,disj-spk,0,0,,1,0,1,0,0,0,HUN-EVID-058,neither,
∅,∅,disj-nspk-epi,0,0,1,0,0,0,0,0,0,HUN-EVID-069,neither,
∅,∅,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,HUN-EVID-070,neither,